"Sample","Rater1","Rater2","Rater3","Rater4"
"Q1","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12","NA, NA, Flaw4, NA, Flaw6, Flaw7, NA, Flaw9, NA, Flaw11, Flaw12","Flaw2, Flaw3, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12"
"Q2","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, NA, Flaw4, NA, Flaw6, Flaw7, NA, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12"
"Q3","Flaw1, Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw2, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10"
"Q4","Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, NA, Flaw4, NA, Flaw6, Flaw7, NA, Flaw9, NA, Flaw11, Flaw12","Flaw2, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11","Flaw1, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q5","Flaw3, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12"
"Q6","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, NA, NA","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw11","Flaw1, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q7","Flaw1, Flaw2, Flaw3, Flaw4, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw7, NA, Flaw9, NA, NA, NA","Flaw1, Flaw2, Flaw3, Flaw4, Flaw6, Flaw7, NA, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw7, NA, NA, NA, NA, NA"
"Q8","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, NA, Flaw5, NA, Flaw7, NA, Flaw9, NA, NA, NA","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, Flaw6, Flaw7, NA, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, NA, Flaw7, NA, NA, NA, NA, NA"
"Q9","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q10","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, NA, Flaw4, NA, Flaw6, Flaw7, NA, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q11","Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw2, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11","Flaw1, Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, NA, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q13","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q14","Flaw1, Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, NA, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q15","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, NA, Flaw9, Flaw10, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q16","Flaw2, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11","Flaw1, Flaw2, NA, NA, NA, NA, Flaw7, NA, Flaw9, NA, Flaw11, Flaw12","Flaw2, NA, Flaw7, Flaw9, NA, Flaw11","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12"
"Q17","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, NA, NA, NA, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, NA, Flaw6, Flaw7, Flaw11, Flaw12"
"Q18","Flaw1, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw11, Flaw12","Flaw1, Flaw2, NA, NA, NA, Flaw6, Flaw7, NA, Flaw9, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q19","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q20","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q21","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw8, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw8, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw10, Flaw11, Flaw12"
"Q22","Flaw3, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw2, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q23","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q24","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, NA, Flaw4, NA, Flaw6, Flaw7, NA, Flaw9, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, NA, Flaw12","Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q25","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, NA, NA, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, Flaw6, Flaw7, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, Flaw6, Flaw7, NA, NA, NA, NA, NA"
"Q26","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, NA, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q27","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw9, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
"Q28","Flaw1, Flaw2, Flaw3, Flaw4, Flaw6, Flaw7, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, NA, NA, NA, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, Flaw6, Flaw7, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, Flaw5, Flaw6, Flaw7, NA, NA, NA, NA"
"Q29","Flaw2, Flaw3, NA, Flaw6, Flaw7, Flaw8, Flaw10, Flaw11, Flaw12","Flaw1, Flaw2, NA, NA, NA, Flaw6, Flaw7, Flaw8, NA, Flaw11, Flaw12","Flaw2, Flaw3, NA, Flaw6, Flaw7, Flaw8, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw7, Flaw8, Flaw10, Flaw11, Flaw12"
"Q30","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw8, Flaw9, NA, Flaw11, Flaw12","Flaw2, Flaw4, NA, Flaw6, Flaw7, NA, Flaw11","Flaw1, Flaw2, Flaw3, Flaw4, NA, Flaw6, Flaw8, Flaw9, Flaw10, Flaw11, Flaw12"
